NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107,373758,197059,176699,0,0,0,661386,594353,67033,622443,38943,1580238,2235,2406,30738,626007,1529337,657585,9123,17424,2388,24673,48,1046
NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616,281422,148019,133403,0,0,0,579692,486951,92741,555026,24666,1129654,1156,3094,19541,555901,1410852,178807,15792,53027,2643,46927,366,932
NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,48501,33245,17885,15360,0,0,0,59541,46940,12601,56471,3070,82463,121,275,1030,58115,124482,8480,4852,2933,312,679,66,200
NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842,143178,73782,69396,0,0,0,207374,177621,29753,195978,11396,374946,597,601,10902,195274,364148,194278,3527,13038,362,5886,107,974
NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246,376472,200098,176374,0,0,0,874320,732598,141722,839621,34699,1668923,2952,4358,29022,837988,2087294,149807,18337,271752,1993,11322,273,2465
NCT OF DELHI,South West,2292958,1246046,1046912,1787689,1025261,762428,318408,170205,148203,0,0,0,795352,667977,127375,749995,45357,1497606,9733,7753,18614,759252,2102743,112691,31226,31692,2784,9215,266,2341
NCT OF DELHI,South,2731929,1467428,1264501,2078402,1185036,893366,422926,223199,199727,0,0,0,924393,775592,148801,869086,55307,1807536,2984,5908,25081,890420,2155759,445914,41880,69520,3862,11020,645,3329
RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435,720412,376734,343678,13477,7160,6317,912672,596320,316352,680563,232109,1056496,268297,230438,13790,400147,1437144,50688,2077,474853,938,1988,164,1316
RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,409855,494189,258352,235837,14289,7578,6711,835260,512802,322458,642109,193151,939432,370452,166833,13839,284136,1433067,118673,1542,216997,241,1935,138,2099
RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402,493646,259532,234114,7779,4207,3572,986208,640572,345636,752768,233440,1377729,499223,103833,26244,356908,2073356,235741,1901,20072,285,30850,79,1653
RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540,451721,235113,216608,11245,5903,5342,902829,541404,361425,628381,274448,1136718,572644,87983,16594,225608,1777879,249736,958,402,188,7104,127,3153
RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,360709,185879,174830,41629,21380,20249,894649,541392,353257,592813,301836,1242396,521692,68878,13472,290607,1905682,228178,1004,275,56,548,85,1217
RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647,653036,342938,310098,289249,153397,135852,1708542,994171,714371,1179461,529081,1965637,898891,216772,34562,558317,3039279,547335,2696,64532,4384,13221,348,2384
RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,557305,296293,261012,54090,28705,25385,1071154,647198,423956,694929,376225,1477308,500994,238894,25068,306198,2143046,371286,1576,23456,899,5758,18,2423
RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377,245695,131875,113820,58594,31802,26792,523212,339110,184102,317617,205595,683304,229936,74342,12721,206213,1127520,72258,688,1356,92,2739,21,1842
RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945,354465,189249,165216,324960,176200,148760,628726,371058,257668,438337,190389,829522,335302,115367,9521,168536,1370977,81553,602,297,70,3424,413,912
RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,278789,146333,132456,285848,152745,133103,578068,343802,234266,418555,159513,757483,313358,88804,12070,163836,1165505,155681,945,812,177,9991,42,2398
RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116,354337,185349,168988,433344,228554,204790,684495,398151,286344,506214,178281,949914,390960,76277,17185,200073,1582335,45488,439,296,94,3737,115,1905
RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,1003302,524831,478471,527966,276638,251328,2464893,1714947,749946,2060010,404883,4161285,744374,131523,91011,1497985,5819980,687452,12708,18782,1020,81079,257,4900
RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,995275,656842,418806,216523,202283,75349,39098,36251,1006504,657854,348650,698711,307793,1670829,501311,87889,22776,394528,2342076,327583,1122,356,177,4050,15,1954
RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,699911,360451,339460,10418,5475,4943,1425882,857031,568851,985927,439955,1881861,734614,263401,29647,398220,2833443,454487,1912,366,163,12940,276,4156
RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,608024,315199,292825,118924,61969,56955,1489741,965103,524638,1056479,433262,2197424,592370,242017,42412,612942,3224399,411558,6035,4123,514,36697,80,3759
RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238,99134,52776,46358,42429,22497,19932,288903,182565,106338,175383,113520,381016,132466,43872,6835,105730,497045,168129,874,1723,98,1521,34,495
RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861,436414,228431,207983,176257,92610,83647,1202482,696240,506242,741367,461115,1401269,754260,132696,30565,284961,2244882,321192,1157,450,157,34010,34,1869
RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659,357196,185342,171854,178719,93290,85429,896644,494906,401738,660719,235925,932086,493355,158013,21867,223409,1732852,78990,730,231,144,14640,82,1061
RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906,201863,104899,96964,292470,148966,143504,419829,272196,147633,313292,106537,616517,124080,97823,9443,188483,996562,30479,1284,572,114,6829,56,450
RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312,398096,203328,194768,144578,74369,70209,842327,523077,319250,605288,237039,1195246,243491,237280,26119,335437,1870543,143476,1345,1540,141,18974,52,1502
RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405,478027,243750,234277,63482,32408,31074,1053722,686149,367573,827181,226541,1529330,298856,145523,35602,573741,2201663,314159,10605,6799,417,45614,184,3611
RAJASTHAN,Tonk,1421326,728136,693190,749659,478329,271330,287903,148110,139793,178207,92677,85530,649161,371848,277313,495797,153364,772165,326083,113426,16004,193648,1243527,153146,754,378,122,22458,30,911
RAJASTHAN,Bundi,1110906,577160,533746,585044,371705,213339,210788,109333,101455,228549,119454,109095,526091,314806,211285,361070,165021,584815,250453,111388,11172,153078,1017688,66609,682,11059,144,13455,24,1245
RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,407947,206332,201615,229273,117026,112247,1148165,674589,473576,883329,264836,1260358,555168,163052,30149,399796,2224839,142427,1978,1468,183,35149,60,2419
RAJASTHAN,Rajsamand,1156597,581339,575258,619139,383334,235805,148168,74738,73430,160809,81173,79636,550831,319534,231297,362584,188247,605766,207582,106587,13505,223157,1105676,33677,759,260,100,14966,68,1091
RAJASTHAN,Dungarpur,1388552,696532,692020,681591,415820,265771,52267,26543,25724,983437,491631,491806,641515,346624,294891,216411,425104,747037,227849,184330,12514,216822,1340065,28662,830,240,226,16141,853,1535
RAJASTHAN,Banswara,1797485,907754,889731,829343,513854,315489,80091,40639,39452,1372999,690476,682523,916574,482236,434338,542983,373591,880911,546569,199370,19818,150817,1701234,48834,22250,427,138,22613,109,1880
RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,514851,306974,250224,126748,123476,201546,101893,99653,802755,456632,346123,656904,145851,741583,453201,123469,15435,210650,1413163,97855,1274,1515,252,25843,136,4300
RAJASTHAN,Kota,1951014,1021161,929853,1298345,765396,532949,405408,211161,194247,183816,96428,87388,748811,534650,214161,577548,171263,1202203,140262,134992,25125,448432,1661307,243993,5665,11058,280,25742,286,2683
RAJASTHAN,Baran,1222755,633945,588810,693307,432607,260700,221184,114969,106215,276857,143094,133763,552583,329754,222829,359785,192798,670172,216538,185037,15258,135750,1133349,79984,1432,3066,84,2795,48,1997
RAJASTHAN,Jhalawar,1411129,725143,685986,739792,466815,272977,243582,125965,117617,182229,94185,88044,685950,402825,283125,475653,210297,725179,328714,209772,11199,136265,1299751,96164,842,819,46,12488,42,977
RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,973444,609185,188525,97094,91431,1525289,773213,752076,1365783,835839,529944,822355,543428,1702637,539106,302968,33535,490174,2869976,104307,7406,4278,209,78647,373,3224
RAJASTHAN,Pratapgarh,867848,437744,430104,401515,250122,151393,60429,30755,29674,550427,276742,273685,481294,251691,229603,327445,153849,386554,306419,96815,5516,72544,827293,25597,358,72,32,14077,27,392
UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1220114,856994,764450,407029,357421,980,517,463,1037344,911136,126208,882701,154643,2429038,221567,273050,34032,508695,1966892,1454052,6523,18627,1937,10208,135,8008
UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,561250,298587,262663,317,176,141,1291644,1081569,210075,1085491,206153,2851868,336049,323641,45952,586002,2382914,1711453,6495,18601,1516,16345,60,6128
UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1241471,893922,787444,413872,373572,3058,1588,1470,1088036,921497,166539,839778,248258,2594677,232158,311489,52549,491840,2032081,1585210,6184,50624,1736,2134,41,4703
UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1357435,906413,731406,385244,346162,685,377,308,1417811,1193439,224372,1104968,312843,3354195,368638,338384,88733,622056,2488265,2248392,13157,7555,1260,2426,382,10569
